province_code,Q229NETINCOME,Ageofhead,Q61035POLICE,Q61038LIGHT,Q224ANOMONEY,income,Total_IOPBV,Total_number_of_convictions,Q531FOOD,Q531PUBTRAN,Q531PREPRIM,Q531PRIM,Q531SECOND,Q531CLINIC,Q531HOSPITAL,Q531POLICE,Q531RELIG,Q531BANK,Q531POSTOFF,Q531WELFARE,Q531MULTI,Q653AREA,Q658VALUE
7.0,5000.0,41.0,2,1,2.0,363.727741,0,0,1606,925,2928,3028,2640,4225,4333,4769,2713,3619,2836,3889,4782,44,3955
2.0,3600.0,65.0,1,1,2.0,152.884165,0,0,753,587,558,801,643,541,621,697,602,714,500,845,736,-777,-777
9.0,1500.0,29.0,1,2,1.0,836.123491,0,0,562,656,1312,1708,930,782,13543,10909,893,24980,861,718,560,32,5442
7.0,0.0,48.0,2,2,1.0,356.75,0,0,1538,928,881,1405,4740,3856,3228,3741,904,3785,4555,3414,3181,4,3131
1.0,2000.0,38.0,1,2,1.0,360.895205,1,0,176,693,947,736,754,1704,1387,940,1657,1799,1859,1236,1766,3,785
8.0,0.0,45.0,2,2,2.0,362.281096,0,0,82,90,275,492,83,518,885,589,1,653,721,719,11,44,3288
5.0,4000.0,13.0,2,2,1.0,362.281096,0,0,22078,29756,26060,-999,4997,3529,22023,27821,7069,24557,23993,21900,26075,71,1337
9.0,3000.0,29.0,1,2,1.0,808.631085,0,0,862,828,985,564,807,1164,969,771,4811,606,985,929,895,45,2475
8.0,0.0,26.0,1,2,9.0,1078.559627,2,1,5785,527,1130,1724,1355,4700,9756,7750,876,6479,7826,2857,8097,17,17534
7.0,10000.0,59.0,1,1,2.0,2949.472757,0,0,353,388,281,155,405,862,980,828,369,829,840,966,639,-777,-777
1.0,7000.0,26.0,1,1,1.0,1050.347816,0,0,1305,1673,1155,1936,1279,1032,1401,1599,1093,1438,1301,1322,-999,0,12085
9.0,400.0,16.0,2,2,2.0,529.016692,0,0,371,50,60,218,246,426,25883,167,45,28424,21665,600,893,42,6553
3.0,5000.0,43.0,2,2,1.0,533.033986,0,0,2698,24,1267,1346,1716,1782,2458,4636,1695,4915,4059,4762,1065,19,7219
7.0,6000.0,51.0,1,2,1.0,535.125,0,0,323,5,488,325,173,456,596,390,227,306,245,1,98,55,8447
3.0,4000.0,48.0,2,2,1.0,537.232484,0,0,807,948,518,618,25325,21896,23299,29589,792,25749,24351,25597,656,57,5106
9.0,500.0,48.0,2,2,1.0,539.279813,0,0,540,543,549,851,1338,2846,8468,3891,998,2076,912,5256,8607,71,6299
3.0,2500.0,21.0,1,2,1.0,543.421645,1,0,47,194,647,871,941,1293,8087,2124,1509,8685,4004,2214,4180,45,7117
